po,Dm,Dt,-,-,,Dt,-,-,F0000004.007290.2.17
svojo,Zp-zet,Zp-zeo,-,-,,Zp-zeo,-,-,F0000004.007290.2.2
Mombasi,Sozem,Slzem,mombasa,Mombasa,,Slzem,,Mombasa,F0000004.007290.2.27
Kurth,Slmei,Slzet,-,-,,Slzet,-,-,F0000004.007290.2.9
projekta,Somer,Somdt,-,-,,Somdt,-,-,F0000004.012677.3.10
nov,Ppnmetn,Ppnmein,-,-,,Ppnmein,-,-,F0000004.012677.3.14
ključna,Ppnmdi,Ppnmdt,-,-,,Ppnmdt,-,-,F0000004.012677.3.9
morje,Soset,Sosei,-,-,,Sosei,-,-,F0000004.016342.3.8
ERC,Somei,Slmei,erc,ERC,,Slmei,,ERC,F0000004.017190.4.1
racionalnost,Sozet,Sozei,-,-,Sozet,,-,-,F0000004.020584.10.24
površino,Sozet,Sozeo,-,-,,Sozeo,-,-,F0000020.000457.3.8
vojaškoindustrijski,Ppnmetd,Ppnmeid,-,-,,Ppnmeid,-,-,F0000033.000354.4.9
Valerie,Slzei,Slmei,-,-,Slzei,,-,-,F0000035.001108.7.1
na,Dm,Dt,-,-,Dm,,-,-,F0000035.001108.7.8
tekočem,Pdnmem,Pdnsem,-,-,,Pdnsem,-,-,F0000035.001108.7.9
Tukajle,Rsn,Slmei,tukajle,Tukajle,Rsn,,tukajle,,F0000050.002034.4.1
kar,Rsn,Zz-set,-,-,,Zz-set,-,-,F0000050.002769.3.25
ničimer,Zl-seo,Zz-seo,-,-,Zl-seo,,-,-,F0000050.002769.3.35
prepričljivo,Rsn,Ppnzeo,prepričljivo,prepričljiv,,Ppnzeo,,prepričljiv,F0000050.002769.3.46
nizozemsko,Ppnzet,Ppnzeo,-,-,,Ppnzeo,-,-,F0000050.002769.3.47
identiteto,Sozet,Sozeo,-,-,,Sozeo,-,-,F0000050.002769.3.48
položajne,Ppnzmi,Ppnzmt,-,-,,Ppnzmt,-,-,F0000057.000158.1.3
oznake,Sozmi,Sozmt,-,-,,Sozmt,-,-,F0000057.000158.1.4
Hudiča,Somer,Sometd,-,-,,Sometd,-,-,F0000063.000754.1.2
E.,-,-,E.,e.,-,-,E.,,F0000078.000134.4.1
B.,-,-,B.,b.,-,-,B.,,F0000078.000134.4.2
nič,Rsn,Zl-set,-,-,,Zl-set,-,-,F0000081.000530.1.5
drage,Ppnmmt,Ppnzer,-,-,Ppnmmt,Ppnzer,-,-,F0000130.000218.7.3
moje,Zspseie,Sozer,moj,moja,Zspseie,,moj,,F0000130.000218.7.4
E.,-,-,E.,e.,-,-,E.,,F0000137.000027.10.1
H.,-,-,H.,h.,-,-,H.,,F0000137.000027.10.2
M.,-,-,M.,m.,-,-,M.,,F0000137.000027.10.3
predela,Somer,Ggdste,predel,predelati,,Ggdste,,predelati,F0000167.000453.17.4
SMELT,-,-,SMELT,Smelt,-,-,,Smelt,F0000173.001901.1.1
LJUBLJANA,-,-,LJUBLJANA,Ljubljana,-,-,,Ljubljana,F0000173.001901.1.2
organizacije,Sozer,Sozmi,-,-,,Sozmi,-,-,F0000229.000429.1.11
v,Dt,Dm,-,-,Dt,,-,-,F0000229.000429.1.15
obstoječi,Pdnmetd,Pdnmmi,-,-,Pdnmetd,,-,-,F0000229.000429.1.23
privilegirani,Pdnmmi,Pdnmetd,-,-,,Pdnmetd,-,-,F0000229.000429.1.26
hiper,Slmei,N,-,-,Slmei,N,-,-,F0000232.000080.4.10
GORENJE,Sosei,Ppnzer,gorenje,gorenji,Sosei,,gorenje,,F0000246.011998.1.2
seme,Slzei,Soset,-,-,,Soset,-,-,F0000246.018666.1.9
žive,Ppnzmt,Ppnzmi,-,-,Ppnzmt,,-,-,F0000258.000348.5.10
modre,Ppnzmt,Ppnzmi,-,-,Ppnzmt,,-,-,F0000258.000348.5.12
oči,Sozmt,Sozmi,-,-,Sozmt,,-,-,F0000258.000348.5.13
tenke,Ppnzmt,Ppnzmi,-,-,Ppnzmt,,-,-,F0000258.000348.5.7
brčice,Sozmt,Sozmi,-,-,Sozmt,,-,-,F0000258.000348.5.8
zato,Rsn,Vp,-,-,,Vp,-,-,F0000267.000968.9.9
moje,Zspseie,Zspzmie,-,-,,Zspzmie,-,-,F0000280.000694.2.8
meje,Sozer,Sozmi,-,-,,Sozmi,-,-,F0000280.000694.2.9
Asja,Slzei,Slmei,-,-,Slzei,,-,-,F0000289.001483.1.1
Maček,Somei,Slzei,maček,Maček,,Slzei,,Maček,F0000289.001682.1.4
Barve,Sozer,Sozmt,-,-,Sozer,Sozmt,-,-,F0000289.011604.1.1
16.50Telebajski,N,Slmmi,16.50telebajski,16.50Telebajsk,N,,16.50telebajski,16.50Telebajsk,F0000312.001008.1.1
Počitnice,Sozmi,Slzmi,počitnice,Počitnica,Sozmi,,počitnice,,F0000321.001837.1.3
GEONAVTIK,Somei,Slmei,geonavtik,GEONAVTIK,,Slmei,,GEONAVTIK,F0000333.001582.2.11
dlje,-,-,daleč,dolgo,-,-,daleč,,F0000333.001582.2.31
priobalne,Ppnzer,Ppnzmt,-,-,,Ppnzmt,-,-,F0000333.001582.2.34
vode,Sozer,Sozmt,-,-,,Sozmt,-,-,F0000333.001582.2.35
NAVTIKA,Sozei,Somer,navtika,navtik,Sozei,,navtika,,F0000333.001582.2.6
vsedale,Sozer,Somei,vsedala,vsedale,Sozer,Somei,vsedala,vsedale,F0000334.000326.1.14
